ARGO Ocean Data Export
Generated: 2025-10-07T17:03:03.197332
Total Records: 50
Columns: latitude, longitude, temperature, salinity, pressure, platform_number, date
================================================================================

  latitude  longitude  temperature  salinity    pressure platform_number       date
 -6.062037 106.891000    21.592337 34.751724  850.401640     ARGO_000000 2023-01-01
  8.819891  54.566586    18.535793 36.992176  751.144230     ARGO_000001 2023-01-02
-35.229712  62.633288    26.064702 34.793898 1048.377317     ARGO_000002 2023-01-03
 14.322503  68.335015    15.309932 34.923646 1392.052294     ARGO_000003 2023-01-04
-36.709722  88.682133    28.212288 34.647984  979.463824     ARGO_000004 2023-01-05
-31.040146  76.889998    28.220270 36.799790 1625.385655     ARGO_000005 2023-01-06
 -8.231289  72.773172    27.068763 35.092791  385.655973     ARGO_000006 2023-01-07
 -1.590868  59.184576    20.955118 36.000971  904.933397     ARGO_000007 2023-01-08
-16.144225  99.061048    24.559196 36.584311  385.498648     ARGO_000008 2023-01-09
 -6.146801  48.511127    25.793702 35.845463  305.705875     ARGO_000009 2023-01-10
-34.398980 110.155188    15.382453 33.416746  424.152220     ARGO_000010 2023-01-11
  3.144071  85.232899    21.002673 35.167006 1272.709950     ARGO_000011 2023-01-12
 12.578627  56.139094    21.360065 33.468141 1721.476244     ARGO_000012 2023-01-13
-23.382177  71.178163    26.398030 35.027100  343.503236     ARGO_000013 2023-01-14
-33.519031  49.264808    22.702402 35.282068  802.156299     ARGO_000014 2023-01-15
 -2.482956  58.657080    23.844809 35.722563  913.017585     ARGO_000015 2023-01-16
-38.214687  97.409693    28.547854 33.584454 1737.155178     ARGO_000016 2023-01-17
-34.153246 116.416012    16.818998 34.934473  453.811021     ARGO_000017 2023-01-18
-39.679629  42.325334    16.765623 33.925741    7.045072     ARGO_000018 2023-01-19
 10.509902 117.049365    21.150624 36.305391  908.343617     ARGO_000019 2023-01-20
-38.354554 111.157731    24.451115 33.702971 1834.252352     ARGO_000020 2023-01-21
 -2.199596  46.218898    28.190120 36.028409 1055.320174     ARGO_000021 2023-01-22
  3.758471  43.646402    17.439555 34.151680  259.220903     ARGO_000022 2023-01-23
-38.165628  66.010629    24.336472 33.808408 1265.397463     ARGO_000023 2023-01-24
  4.916296  49.207170    22.988679 34.519524  262.782685     ARGO_000024 2023-01-25
  5.622666 115.146052    16.497897 33.622940  490.094791     ARGO_000025 2023-01-26
 21.295937 105.066935    21.367041 36.725734  261.372130     ARGO_000026 2023-01-27
 11.999673  41.649737    17.657826 35.105363  914.758589     ARGO_000027 2023-01-28
 16.766734 116.563293    26.278796 33.986347  617.499135     ARGO_000028 2023-01-29
 -9.398264 118.263692    23.809171 34.703725  610.150003     ARGO_000029 2023-01-30
 22.513898  83.723693    24.846838 33.286231  757.856110     ARGO_000030 2023-01-31
  1.892679 100.790830    16.315304 34.608503 1578.456245     ARGO_000031 2023-02-01
-27.970795  48.582762    21.320074 36.265135 1908.912818     ARGO_000032 2023-02-02
 -2.636269  79.983201    21.350443 36.327790  634.126209     ARGO_000033 2023-02-03
-34.381099  75.567022    29.775791 34.011557 1628.865454     ARGO_000034 2023-02-04
-13.863458  99.039611    28.179353 33.183456 1886.006038     ARGO_000035 2023-02-05
  1.751013  62.584177    16.432487 35.744467  990.637256     ARGO_000036 2023-02-06
 -1.765757  45.912520    16.367764 34.054925  787.509303     ARGO_000037 2023-02-07
-35.849657  85.636869    17.667388 35.008500 1412.939937     ARGO_000038 2023-02-08
 17.231380  52.626078    24.296932 34.908464 1886.434977     ARGO_000039 2023-02-09
 18.001665 105.401509    23.937099 33.396674 1143.759952     ARGO_000040 2023-02-10
-32.184381  52.291424    20.937318 33.002291  855.999995     ARGO_000041 2023-02-11
 21.476277  52.824027    15.637818 33.531976 1414.904931     ARGO_000042 2023-02-12
  9.279202 102.360736    18.205148 36.427216  719.156140     ARGO_000043 2023-02-13
-19.601184 109.177426    29.026042 34.331989 1405.558160     ARGO_000044 2023-02-14
-11.370365  92.736021    22.112678 34.789918  171.141404     ARGO_000045 2023-02-15
-37.505898  56.271430    23.659043 36.029640  722.377457     ARGO_000046 2023-02-16
-24.548254  40.570351    26.985123 33.088186  743.148233     ARGO_000047 2023-02-17
  0.456706 107.437719    22.710082 34.430756  193.997729     ARGO_000048 2023-02-18
-21.694924  64.051041    16.286251 34.505159 1881.490221     ARGO_000049 2023-02-19
