file,date,latitude,longitude,ocean,profiler_code,institution_code,date_update,wmo,cyc,institution,dac,profiler,Month,Region
argo_000000.nc,2020-01-01,-15.654892274921437,54.81063430708957,A,416480,AOML,2020-01-01,630799,7,"JAMSTEC, Japan",IFREMER,APEX float,January,Pacific Ocean
argo_000001.nc,2020-01-02,21.79642991664455,83.35207579026866,A,436227,AOML,2020-01-02,739104,43,"AOML, USA",AOML,ARVOR float,January,Pacific Ocean
argo_000002.nc,2020-01-03,7.579606217741329,109.83566687011266,A,685236,IFREMER,2020-01-03,600981,82,"AOML, USA",AOML,APEX float,January,Atlantic Ocean
argo_000003.nc,2020-01-04,-1.0871985271926192,98.5779909127649,P,340891,JAMSTEC,2020-01-04,873720,38,"CSIRO, Australia",CSIRO,Teledyne Webb Research float,January,Indian Ocean
argo_000004.nc,2020-01-05,-29.858788371241626,104.52489182891598,P,264074,JAMSTEC,2020-01-05,366909,37,"JAMSTEC, Japan",AOML,Teledyne Webb Research float,January,Pacific Ocean
argo_000005.nc,2020-01-06,-29.86035617814683,92.70266933685738,P,573314,CSIRO,2020-01-06,251426,58,"CSIRO, Australia",AOML,Teledyne Webb Research float,January,Atlantic Ocean
argo_000006.nc,2020-01-07,-36.22456520906704,95.3821251614282,A,609452,AOML,2020-01-07,386073,33,"CSIRO, Australia",JAMSTEC,ARVOR float,January,Pacific Ocean
argo_000007.nc,2020-01-08,16.301449475370788,107.93565212522554,P,388816,IFREMER,2020-01-08,259892,59,"JAMSTEC, Japan",CSIRO,Teledyne Webb Research float,January,Indian Ocean
argo_000008.nc,2020-01-09,-0.9275242366914256,59.97344070873488,I,890645,AOML,2020-01-09,211576,95,"CSIRO, Australia",JAMSTEC,ARVOR float,January,Indian Ocean
argo_000009.nc,2020-01-10,6.0247175567429565,79.15399709145123,I,241365,AOML,2020-01-10,522739,11,"AOML, USA",JAMSTEC,ARVOR float,January,Pacific Ocean
argo_000010.nc,2020-01-11,-38.66200787077284,57.69675534556818,P,549076,CSIRO,2020-01-11,695376,68,"JAMSTEC, Japan",IFREMER,Teledyne Webb Research float,January,Indian Ocean
argo_000011.nc,2020-01-12,23.044140390529634,119.01344063973175,I,162507,AOML,2020-01-12,177525,82,"JAMSTEC, Japan",IFREMER,APEX float,January,Atlantic Ocean
argo_000012.nc,2020-01-13,14.108771652027414,115.52474717492906,I,157134,IFREMER,2020-01-13,113780,68,"JAMSTEC, Japan",CSIRO,SOLO float,January,Atlantic Ocean
argo_000013.nc,2020-01-14,-26.19795780591205,43.15414490948047,A,233172,IFREMER,2020-01-14,368733,98,"JAMSTEC, Japan",CSIRO,ARVOR float,January,Pacific Ocean
argo_000014.nc,2020-01-15,-28.18137713153846,96.44601380125508,P,341225,CSIRO,2020-01-15,980096,93,"CSIRO, Australia",IFREMER,Teledyne Webb Research float,January,Indian Ocean
argo_000015.nc,2020-01-16,-28.078706859526804,114.01986539325327,P,293069,AOML,2020-01-16,544709,88,"CSIRO, Australia",IFREMER,ARVOR float,January,Atlantic Ocean
argo_000016.nc,2020-01-17,-20.224254207630047,54.44602761018668,A,914604,IFREMER,2020-01-17,204188,22,"AOML, USA",IFREMER,APEX float,January,Atlantic Ocean
argo_000017.nc,2020-01-18,-5.890831943904537,85.43561844421035,I,906564,AOML,2020-01-18,717614,66,"IFREMER, France",IFREMER,APEX float,January,Atlantic Ocean
argo_000018.nc,2020-01-19,-11.923573788262477,113.23906380704335,I,873221,AOML,2020-01-19,927385,44,"IFREMER, France",IFREMER,Teledyne Webb Research float,January,Pacific Ocean
argo_000019.nc,2020-01-20,-21.070105887127276,42.715678286863906,P,904631,AOML,2020-01-20,690073,6,"AOML, USA",JAMSTEC,ARVOR float,January,Pacific Ocean
argo_000020.nc,2020-01-21,-0.22956184304533167,95.7936213797472,I,660897,CSIRO,2020-01-21,643597,42,"IFREMER, France",CSIRO,SOLO float,January,Atlantic Ocean
argo_000021.nc,2020-01-22,-30.93289905761728,63.78792058980406,A,274037,AOML,2020-01-22,678483,25,"AOML, USA",JAMSTEC,SOLO float,January,Atlantic Ocean
argo_000022.nc,2020-01-23,-21.01059784521082,113.95169563012243,A,763376,IFREMER,2020-01-23,125901,57,"CSIRO, Australia",JAMSTEC,ARVOR float,January,Indian Ocean
argo_000023.nc,2020-01-24,-16.18648018591004,117.68465961322943,P,532995,AOML,2020-01-24,778936,85,"JAMSTEC, Japan",AOML,ARVOR float,January,Indian Ocean
argo_000024.nc,2020-01-25,-10.355451025892666,115.54131912907471,A,596013,IFREMER,2020-01-25,524724,55,"JAMSTEC, Japan",JAMSTEC,ARVOR float,January,Indian Ocean
argo_000025.nc,2020-01-26,11.036437490545886,77.9371373325971,A,394025,AOML,2020-01-26,567927,16,"CSIRO, Australia",IFREMER,Teledyne Webb Research float,January,Pacific Ocean
argo_000026.nc,2020-01-27,-27.021204159706617,108.96341207914507,P,837954,IFREMER,2020-01-27,649752,95,"JAMSTEC, Japan",IFREMER,APEX float,January,Atlantic Ocean
argo_000027.nc,2020-01-28,-6.574761503115248,107.56395188280563,A,910904,IFREMER,2020-01-28,378404,14,"JAMSTEC, Japan",AOML,SOLO float,January,Pacific Ocean
argo_000028.nc,2020-01-29,-1.4930530239672422,65.52803785946045,A,600098,AOML,2020-01-29,749285,39,"IFREMER, France",AOML,Teledyne Webb Research float,January,Atlantic Ocean
argo_000029.nc,2020-01-30,-36.98072317320015,106.3132379320542,A,807173,AOML,2020-01-30,397584,28,"CSIRO, Australia",AOML,ARVOR float,January,Indian Ocean
argo_000030.nc,2020-01-31,-0.5095846264065074,42.96061077723941,I,855728,IFREMER,2020-01-31,457226,96,"IFREMER, France",AOML,ARVOR float,January,Indian Ocean
argo_000031.nc,2020-02-01,-28.91593196032605,87.70159027856424,P,357803,JAMSTEC,2020-02-01,992015,92,"IFREMER, France",AOML,APEX float,February,Indian Ocean
argo_000032.nc,2020-02-02,-35.771646455956834,58.40070698301624,P,791381,CSIRO,2020-02-02,680971,51,"JAMSTEC, Japan",JAMSTEC,ARVOR float,February,Indian Ocean
argo_000033.nc,2020-02-03,21.67755992146666,49.645350862182305,P,416275,JAMSTEC,2020-02-03,486350,49,"JAMSTEC, Japan",AOML,Teledyne Webb Research float,February,Atlantic Ocean
argo_000034.nc,2020-02-04,22.766082149846355,46.15625613033673,I,779447,JAMSTEC,2020-02-04,272502,9,"CSIRO, Australia",JAMSTEC,Teledyne Webb Research float,February,Indian Ocean
argo_000035.nc,2020-02-05,12.54582762756997,95.70310207025118,I,112828,AOML,2020-02-05,607994,58,"JAMSTEC, Japan",CSIRO,APEX float,February,Atlantic Ocean
argo_000036.nc,2020-02-06,-20.200105003730904,67.1899971014453,P,983096,CSIRO,2020-02-06,780465,45,"JAMSTEC, Japan",AOML,Teledyne Webb Research float,February,Atlantic Ocean
argo_000037.nc,2020-02-07,-33.65131258958505,97.98134172230093,I,616835,JAMSTEC,2020-02-07,702772,22,"CSIRO, Australia",AOML,SOLO float,February,Pacific Ocean
argo_000038.nc,2020-02-08,4.475146723290202,45.22850726391539,P,756761,AOML,2020-02-08,874107,32,"JAMSTEC, Japan",JAMSTEC,Teledyne Webb Research float,February,Indian Ocean
argo_000039.nc,2020-02-09,-11.390087906925917,65.22322702644882,I,901625,JAMSTEC,2020-02-09,954741,69,"IFREMER, France",CSIRO,Teledyne Webb Research float,February,Indian Ocean
argo_000040.nc,2020-02-10,-32.067514735089375,83.15930339002698,A,323461,JAMSTEC,2020-02-10,932359,87,"CSIRO, Australia",JAMSTEC,Teledyne Webb Research float,February,Pacific Ocean
argo_000041.nc,2020-02-11,-7.813500842767439,103.25785318711709,A,538080,AOML,2020-02-11,306486,69,"JAMSTEC, Japan",JAMSTEC,SOLO float,February,Atlantic Ocean
argo_000042.nc,2020-02-12,-37.764746127510804,65.5002002345656,P,513523,AOML,2020-02-12,929378,42,"AOML, USA",AOML,ARVOR float,February,Indian Ocean
argo_000043.nc,2020-02-13,19.105826135120836,90.07131011496072,I,464662,AOML,2020-02-13,549777,53,"CSIRO, Australia",IFREMER,Teledyne Webb Research float,February,Atlantic Ocean
argo_000044.nc,2020-02-14,-23.1793011959989,110.87821985889497,I,381755,CSIRO,2020-02-14,241449,96,"CSIRO, Australia",IFREMER,APEX float,February,Pacific Ocean
argo_000045.nc,2020-02-15,3.0639484830088293,89.26905505458436,A,799151,JAMSTEC,2020-02-15,677880,59,"AOML, USA",JAMSTEC,SOLO float,February,Atlantic Ocean
argo_000046.nc,2020-02-16,-19.73878005418829,58.6367579802907,A,438384,AOML,2020-02-16,238419,74,"JAMSTEC, Japan",AOML,APEX float,February,Indian Ocean
argo_000047.nc,2020-02-17,-6.1955786234422945,41.95206252452304,I,339719,IFREMER,2020-02-17,395920,39,"JAMSTEC, Japan",CSIRO,Teledyne Webb Research float,February,Atlantic Ocean
argo_000048.nc,2020-02-18,-4.463831842686822,109.60790991207439,I,832763,JAMSTEC,2020-02-18,680086,15,"CSIRO, Australia",IFREMER,APEX float,February,Atlantic Ocean
argo_000049.nc,2020-02-19,-27.984460390840745,41.70155286803097,I,889177,IFREMER,2020-02-19,235370,71,"CSIRO, Australia",CSIRO,Teledyne Webb Research float,February,Indian Ocean
argo_000050.nc,2020-02-20,23.02300080469631,109.97613381473596,I,941675,CSIRO,2020-02-20,956636,29,"JAMSTEC, Japan",IFREMER,SOLO float,February,Indian Ocean
argo_000051.nc,2020-02-21,10.383633518472443,82.31497072217695,I,366010,AOML,2020-02-21,972639,3,"JAMSTEC, Japan",AOML,APEX float,February,Atlantic Ocean
